,Tweet Text,Remove user,Remove url,Remove RT,Remove pun,Remove stop
20,"RT @SkymetWeather: Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA","RT  Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA","RT  Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather ","  Such a pleasant start to a Sunday morning. 
#Mumbaiains #Mumbai #mumbaiweather ","  Such a pleasant start to a Sunday morning 
Mumbaiains Mumbai mumbaiweather ","['Such', 'pleasant', 'start', 'Sunday', 'morning', 'Mumbaiains', 'Mumbai', 'mumbaiweather']"
21,"Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA","Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather https://t.co/6p2mALJytA","Such a pleasant start to a Sunday morning. 
#MumbaiRains #Mumbai #mumbaiweather ","Such a pleasant start to a Sunday morning. 
#Mumbaiains #Mumbai #mumbaiweather ","Such a pleasant start to a Sunday morning 
Mumbaiains Mumbai mumbaiweather ","['Such', 'pleasant', 'start', 'Sunday', 'morning', 'Mumbaiains', 'Mumbai', 'mumbaiweather']"
22,"RT @ya_maddy12: The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","RT  The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","RT  The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","  he rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary #amachimumbai #mumba…","  he rain is falling and so I am❤️

lonavala mumbai mumbaimaharastra lonavalarain lonavaladiary amachimumbai mumba…","['rain', 'falling', 'I', 'am❤️', 'lonavala', 'mumbai', 'mumbaimaharastra', 'lonavalarain', 'lonavaladiary', 'amachimumbai', 'mumba…']"
23,"The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary… https://t.co/jWAldl61mx","The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary… https://t.co/jWAldl61mx","The rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary… ","he rain is falling and so I am...❤️

#lonavala #mumbai #mumbaimaharastra #lonavalarain #lonavaladiary… ","he rain is falling and so I am❤️

lonavala mumbai mumbaimaharastra lonavalarain lonavaladiary… ","['rain', 'falling', 'I', 'am❤️', 'lonavala', 'mumbai', 'mumbaimaharastra', 'lonavalarain', 'lonavaladiary…']"
24,Insane rain in Mumbai region right now. Pleasant weather back again! #MumbaiRains #rain #mumbaiweather #navimumbai https://t.co/XX8P1pDM1L,Insane rain in Mumbai region right now. Pleasant weather back again! #MumbaiRains #rain #mumbaiweather #navimumbai https://t.co/XX8P1pDM1L,Insane rain in Mumbai region right now. Pleasant weather back again! #MumbaiRains #rain #mumbaiweather #navimumbai ,Insane rain in Mumbai region right now. Pleasant weather back again! #Mumbaiains #rain #mumbaiweather #navimumbai ,Insane rain in Mumbai region right now Pleasant weather back again Mumbaiains rain mumbaiweather navimumbai ,"['Insane', 'rain', 'Mumbai', 'region', 'right', 'Pleasant', 'weather', 'back', 'Mumbaiains', 'rain', 'mumbaiweather', 'navimumbai']"
25,#MumbaiWeather Cloudy today! With a high of 29C and a low of 26C.,#MumbaiWeather Cloudy today! With a high of 29C and a low of 26C.,#MumbaiWeather Cloudy today! With a high of 29C and a low of 26C.,#MumbaiWeather Cloudy today! With a high of C and a low of C.,MumbaiWeather Cloudy today With a high of C and a low of C,"['MumbaiWeather', 'Cloudy', 'today', 'With', 'high', 'C', 'low', 'C']"
26,"RT @fpjindia: #Mumbai: Latest updates on August 14 
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID19 
https://t.co/qTSo…","RT  #Mumbai: Latest updates on August 14 
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID19 
https://t.co/qTSo…","RT  #Mumbai: Latest updates on August 14 
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID19 
","  #Mumbai: Latest updates on August  
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID 
","  Mumbai Latest updates on August  
mumbairain MumbaiPolice MumbaiWeather Maharashtra Pune COVID 
","['Mumbai', 'Latest', 'updates', 'August', 'mumbairain', 'MumbaiPolice', 'MumbaiWeather', 'Maharashtra', 'Pune', 'COVID']"
27,"#MumbaiWeather - Sunrise: August 14, 2021 at 06:19AM AM Rain today! With a high of: 30C and a low of:26C #DailyUpdate #WeatherReports","#MumbaiWeather - Sunrise: August 14, 2021 at 06:19AM AM Rain today! With a high of: 30C and a low of:26C #DailyUpdate #WeatherReports","#MumbaiWeather - Sunrise: August 14, 2021 at 06:19AM AM Rain today! With a high of: 30C and a low of:26C #DailyUpdate #WeatherReports","#MumbaiWeather - Sunrise: August ,  at :AM AM ain today! With a high of: C and a low of:C #DailyUpdate #Weathereports",MumbaiWeather  Sunrise August   at AM AM ain today With a high of C and a low ofC DailyUpdate Weathereports,"['MumbaiWeather', 'Sunrise', 'August', 'AM', 'AM', 'today', 'With', 'high', 'C', 'low', 'ofC', 'DailyUpdate', 'Weathereports']"
28,"#Mumbai: Latest updates on August 14 
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID19… https://t.co/rAiyBClA7a","#Mumbai: Latest updates on August 14 
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID19… https://t.co/rAiyBClA7a","#Mumbai: Latest updates on August 14 
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID19… ","#Mumbai: Latest updates on August  
#mumbairain #MumbaiPolice #MumbaiWeather #Maharashtra #Pune #COVID… ","Mumbai Latest updates on August  
mumbairain MumbaiPolice MumbaiWeather Maharashtra Pune COVID… ","['Mumbai', 'Latest', 'updates', 'August', 'mumbairain', 'MumbaiPolice', 'MumbaiWeather', 'Maharashtra', 'Pune', 'COVID…']"
29,"RT @SkymetWeather: Passing showers in parts of #Mumbai, not likely to last for a very long time. #MumbaiRains #mumbaiweather","RT  Passing showers in parts of #Mumbai, not likely to last for a very long time. #MumbaiRains #mumbaiweather","RT  Passing showers in parts of #Mumbai, not likely to last for a very long time. #MumbaiRains #mumbaiweather","  Passing showers in parts of #Mumbai, not likely to last for a very long time. #Mumbaiains #mumbaiweather",  Passing showers in parts of Mumbai not likely to last for a very long time Mumbaiains mumbaiweather,"['Passing', 'showers', 'parts', 'Mumbai', 'likely', 'last', 'long', 'time', 'Mumbaiains', 'mumbaiweather']"
30,"Passing showers in parts of #Mumbai, not likely to last for a very long time. #MumbaiRains #mumbaiweather","Passing showers in parts of #Mumbai, not likely to last for a very long time. #MumbaiRains #mumbaiweather","Passing showers in parts of #Mumbai, not likely to last for a very long time. #MumbaiRains #mumbaiweather","Passing showers in parts of #Mumbai, not likely to last for a very long time. #Mumbaiains #mumbaiweather",Passing showers in parts of Mumbai not likely to last for a very long time Mumbaiains mumbaiweather,"['Passing', 'showers', 'parts', 'Mumbai', 'likely', 'last', 'long', 'time', 'Mumbaiains', 'mumbaiweather']"
